,utt,intent,index
0,i need to get my paycheck direct deposited to my chase account,direct_deposit,0
1,please help me set up direct deposit,direct_deposit,0
2,make it so my paycheck goes directly into my savings account,direct_deposit,0
3,"if i would like to set up direct deposit, how do i do it",direct_deposit,0
4,i need to set up a direct deposit for my paycheck,direct_deposit,0
5,what's restricted in my carry-on with united,carry_on,1
6,"if i take a flight on pan am to denver, how many carry ons are included",carry_on,1
7,what are the carry on rules for united,carry_on,1
8,what can't i carry-on to delta,carry_on,1
9,what should i know about the carry on policy for american,carry_on,1
10,make sure to set yourself to whisper mode before i go to the movie,whisper_mode,2
11,let's start whispering,whisper_mode,2
12,go into whisper mode now please,whisper_mode,2
13,i want your setting adjusted to whisper voice now,whisper_mode,2
14,i want you to use whisper voice now,whisper_mode,2
15,send a text message,text,3
16,start a new text to maureen and tell her i go mom's christmas present,text,3
17,create a new text,text,3
18,please send a text,text,3
19,text bill and tell him i'll be 30 minutes late,text,3
20,what do i need to do to make blackberry pie,recipe,4
21,please show me a recipe for chili,recipe,4
22,i need the best recipe for mashed potatoes,recipe,4
23,what do you need to do to make sushi,recipe,4
24,how do i make pumpkin pie,recipe,4
25,activate my furnace please,smart_home,5
26,can you look who is at the door,smart_home,5
27,remember to lock the doors,smart_home,5
28,please set the temperature to 70,smart_home,5
29,can put fan on,smart_home,5
30,do you happen to be employed by me,who_do_you_work_for,6
31,what organization do you work for,who_do_you_work_for,6
32,do you work for me or is that wrong,who_do_you_work_for,6
33,who do you job for,who_do_you_work_for,6
34,who directs your labor,who_do_you_work_for,6
35,what is my citigroup card's rewards balance,rewards_balance,7
36,how many points did i get on my visa card,rewards_balance,7
37,what is my points total for my mastercard,rewards_balance,7
38,is there a better way to check my visa rewards card balance,rewards_balance,7
39,i need to find out the rewards points i have left on my american express card,rewards_balance,7
40,can you get me a table for 1 at the vega at 1pm,restaurant_reservation,8
41,make me a reservation for 5 at coral for 10 pm immediately,restaurant_reservation,8
42,is it possible to get a table for 4 at the village inn around 10am,restaurant_reservation,8
43,please book a reservation for 8 pm at red robin under the name kevin,restaurant_reservation,8
44,i need you to reserve a table for 6:00 pm for three at devon's seafood,restaurant_reservation,8
45,i'm traveling to denmark soon and want to inform my bank,travel_notification,9
46,how do i inform my bank i'm going to paris,travel_notification,9
47,"i'm going to paris soon and want to let my bank know, how do i do that",travel_notification,9
48,how can i let my bank know i'm going to denmark,travel_notification,9
49,i'm travelling to boston soon and want to inform my bank,travel_notification,9
50,will you add what i'm listening to to my road trip playlist,update_playlist,10
51,i would like to add you say by lauren daigle to my playlist,update_playlist,10
52,"make this song part of the ""kids"" playlist",update_playlist,10
53,this song should be add this on my rock playlist,update_playlist,10
54,add walk by pantera to my playlist,update_playlist,10
55,go ahead and your volume,change_volume,11
56,raise the volume to 4 please,change_volume,11
57,make the speakers louder,change_volume,11
58,can you turn this down,change_volume,11
59,turn your voice box down,change_volume,11
60,display the routing number for account huntington,routing,12
